z_min   z_max    loglx       loglx_lo     loglx_hi           lf        lf_lo        lf_hi
1.2     1.5     43.9375      43.7500      44.1250  2.86340e-05  6.86478e-06  8.82293e-06
1.2     1.5     44.3125      44.1250      44.5000  1.73276e-05  5.19454e-06  7.13732e-06
1.2     1.5     44.6875      44.5000      44.8750  1.53260e-06  1.26343e-06  3.64940e-06
1.2     1.5     45.0625      44.8750      45.2500  1.26505e-06  8.14678e-07  1.72809e-06
1.2     1.5     45.4375      45.2500      45.6250      0.00000      0.00000      0.00000
1.2     1.5     45.8125      45.6250      46.0000  9.58243e-09  7.93936e-09  2.31340e-08
1.5     2.0     41.3125      41.1250      41.5000      0.00000      0.00000      0.00000
1.5     2.0     41.6875      41.5000      41.8750      0.00000      0.00000      0.00000
1.5     2.0     42.0625      41.8750      42.2500      0.00000      0.00000      0.00000
1.5     2.0     42.4375      42.2500      42.6250      0.00000      0.00000      0.00000
1.5     2.0     42.8125      42.6250      43.0000  4.48239e-05  2.78185e-05  5.70497e-05
1.5     2.0     43.1875      43.0000      43.3750  3.08453e-05  1.20304e-05  1.83434e-05
1.5     2.0     43.5625      43.3750      43.7500  2.96982e-05  7.16898e-06  9.23062e-06
1.5     2.0     43.9375      43.7500      44.1250  2.67155e-05  5.21626e-06  6.38761e-06
1.5     2.0     44.3125      44.1250      44.5000  1.19316e-05  3.21460e-06  4.26923e-06
1.5     2.0     44.6875      44.5000      44.8750  4.07565e-06  1.75112e-06  2.79961e-06
1.5     2.0     45.0625      44.8750      45.2500  9.38659e-07  6.98552e-07  1.73555e-06
1.5     2.0     45.4375      45.2500      45.6250  4.52186e-07  2.59893e-07  5.00077e-07
1.5     2.0     45.8125      45.6250      46.0000  1.13995e-08  9.44483e-09  2.75208e-08
2.0     2.5     41.3125      41.1250      41.5000      0.00000      0.00000      0.00000
2.0     2.5     41.6875      41.5000      41.8750      0.00000      0.00000      0.00000
2.0     2.5     42.0625      41.8750      42.2500      0.00000      0.00000      0.00000
2.0     2.5     42.4375      42.2500      42.6250      0.00000      0.00000      0.00000
2.0     2.5     42.8125      42.6250      43.0000  6.41569e-05  4.06788e-05  8.50483e-05
2.0     2.5     43.1875      43.0000      43.3750  3.63649e-05  1.25321e-05  1.81222e-05
2.0     2.5     43.5625      43.3750      43.7500  1.79293e-05  5.33435e-06  7.31074e-06
2.0     2.5     43.9375      43.7500      44.1250  1.28719e-05  3.89764e-06  5.37364e-06
2.0     2.5     44.3125      44.1250      44.5000  6.39078e-06  2.38806e-06  3.57183e-06
2.0     2.5     44.6875      44.5000      44.8750  5.69329e-06  1.65616e-06  2.25292e-06
2.0     2.5     45.0625      44.8750      45.2500      0.00000      0.00000      0.00000
2.0     2.5     45.4375      45.2500      45.6250      0.00000      0.00000      0.00000
2.0     2.5     45.8125      45.6250      46.0000      0.00000      0.00000      0.00000
2.5     3.5     41.3125      41.1250      41.5000      0.00000      0.00000      0.00000
2.5     3.5     41.6875      41.5000      41.8750      0.00000      0.00000      0.00000
2.5     3.5     42.0625      41.8750      42.2500      0.00000      0.00000      0.00000
2.5     3.5     42.4375      42.2500      42.6250      0.00000      0.00000      0.00000
2.5     3.5     42.8125      42.6250      43.0000  0.000173090  7.81118e-05  0.000128217
2.5     3.5     43.1875      43.0000      43.3750  6.31526e-05  1.94726e-05  2.70153e-05
2.5     3.5     43.5625      43.3750      43.7500  2.41756e-05  5.17967e-06  6.47448e-06
2.5     3.5     43.9375      43.7500      44.1250  1.80302e-05  3.24222e-06  3.90504e-06
2.5     3.5     44.3125      44.1250      44.5000  7.27135e-06  1.85414e-06  2.42338e-06
2.5     3.5     44.6875      44.5000      44.8750  5.57555e-06  1.33784e-06  1.71984e-06
2.5     3.5     45.0625      44.8750      45.2500  6.12555e-07  3.16868e-07  5.65123e-07
2.5     3.5     45.4375      45.2500      45.6250      0.00000      0.00000      0.00000
2.5     3.5     45.8125      45.6250      46.0000      0.00000      0.00000      0.00000
