1		9
0.015	0.2		41.87	-3.357	0.286
0.015	0.2		42.62	-4.110	0.250
0.015	0.2		43.11	-4.286	0.150
0.015	0.2		43.38	-4.790	0.150
0.015	0.2		43.78	-5.390	0.150
0.015	0.2		44.13	-5.790	0.214
0.015	0.2		44.49	-6.357	0.214
0.015	0.2		45.04	-7.857	0.357
0.015	0.2		45.87	-9.107	0.750
2		9
0.200	0.4		41.82	-3.214	0.750
0.200	0.4		42.69	-3.860	0.429
0.200	0.4		43.22	-4.236	0.286
0.200	0.4		43.78	-5.000	0.250
0.200	0.4		44.05	-5.214	0.214
0.200	0.4		44.36	-5.960	0.214
0.200	0.4		44.87	-6.890	0.357
0.200	0.4		45.56	-8.070	0.430
0.200	0.4		46.27	-9.785	0.790
3		7
0.400	0.8		42.45	-3.285	0.285
0.400	0.8		43.09	-3.785	0.215
0.400	0.8		43.56	-4.290	0.200
0.400	0.8		44.09	-4.786	0.200
0.400	0.8		44.44	-5.570	0.215
0.400	0.8		44.86	-6.214	0.180
0.400	0.8		45.29	-7.850	0.430
4		6
0.800	1.6		43.25	-3.882	0.200
0.800	1.6		43.70	-4.125	0.200
0.800	1.6		44.05	-4.450	0.200
0.800	1.6		44.60	-5.143	0.214
0.800	1.6		45.15	-6.430	0.250
0.800	1.6		45.67	-8.000	0.300
5	    4
1.600	3.0		44.15	-5.150	0.500
1.600	3.0		44.90	-5.500	0.300
1.600	3.0		45.70	-7.100	0.400
1.600	3.0		46.40	-9.000	0.800
