z_min z_max loglx_lo loglx_hi  LFsoft  LFsoft_lo   LFsoft_hi   Nsoft   LFhard     LFhard_lo    LFhard_hi   Nhard
 0.20 0.40 44.25 44.50   1.896E-06   1.152E-06   3.033E-06    6.11   1.039E-06   6.356E-07   1.653E-06    6.25
 0.20 0.40 44.50 44.75   3.484E-07   2.202E-07   5.389E-07    7.00   4.860E-07   2.256E-07   9.616E-07    3.09
 0.20 0.40 44.75 45.00   6.411E-08   3.968E-08   1.010E-07    6.51   3.339E-07   1.173E-07   7.963E-07    1.97
 0.20 0.40 45.00 45.25   5.755E-09   2.301E-09   1.264E-08    2.37   0.000E+00        -NaN        -NaN    0.00
 0.40 0.60 40.25 40.50   2.189E-03   9.089E-04   4.686E-03    2.52   0.000E+00        -NaN        -NaN    0.00
 0.40 0.60 40.50 40.75   2.155E-03   1.465E-03   3.125E-03    9.38   0.000E+00        -NaN        -NaN    0.00
 0.40 0.60 40.75 41.00   1.359E-03   1.042E-03   1.763E-03   18.02   4.576E-04  -3.612E-04   8.502E-03    0.12
 0.40 0.60 41.00 41.25   9.807E-04   7.977E-04   1.203E-03   28.34   5.079E-04   7.510E-05   1.836E-03    0.91
 0.40 0.60 41.25 41.50   5.898E-04   4.904E-04   7.081E-04   34.83   7.682E-04   4.402E-04   1.291E-03    5.10
 0.40 0.60 41.50 41.75   2.840E-04   2.346E-04   3.431E-04   32.72   5.624E-04   3.897E-04   8.016E-04   10.23
 0.40 0.60 41.75 42.00   1.968E-04   1.632E-04   2.370E-04   33.81   3.358E-04   2.498E-04   4.484E-04   14.85
 0.40 0.60 42.00 42.25   1.345E-04   1.109E-04   1.629E-04   32.00   3.226E-04   2.583E-04   4.016E-04   24.84
 0.40 0.60 42.25 42.50   7.358E-05   5.826E-05   9.261E-05   22.69   2.473E-04   2.069E-04   2.950E-04   37.14
 0.40 0.60 42.50 42.75   6.630E-05   5.141E-05   8.512E-05   19.46   1.352E-04   1.118E-04   1.631E-04   33.19
 0.40 0.60 42.75 43.00   5.554E-05   4.386E-05   7.008E-05   22.23   8.859E-05   7.143E-05   1.096E-04   26.27
 0.40 0.60 43.00 43.25   4.283E-05   3.545E-05   5.165E-05   33.30   7.042E-05   5.521E-05   8.947E-05   21.06
 0.40 0.60 43.25 43.50   2.789E-05   2.292E-05   3.387E-05   31.13   3.486E-05   2.650E-05   4.560E-05   17.01
 0.40 0.60 43.50 43.75   1.401E-05   1.094E-05   1.787E-05   20.45   1.970E-05   1.493E-05   2.585E-05   16.66
 0.40 0.60 43.75 44.00   5.894E-06   3.971E-06   8.617E-06    9.02   1.417E-05   1.075E-05   1.857E-05   16.83
 0.40 0.60 44.00 44.25   1.109E-06   3.753E-07   2.707E-06    1.87   4.423E-06   2.847E-06   6.733E-06    7.50
 0.40 0.60 44.25 44.50   7.492E-07   1.414E-07   2.458E-06    1.07   2.134E-06   1.398E-06   3.201E-06    8.01
 0.40 0.60 44.50 44.75   3.051E-07   5.070E-12   2.468E-06    0.30   5.089E-07   2.817E-07   8.798E-07    4.63
 0.40 0.60 44.75 45.00   3.026E-07   2.263E-08   1.352E-06    0.66   8.530E-08   1.515E-08   2.871E-07    1.02
 0.40 0.60 45.00 45.25   6.168E-08   2.663E-08   1.285E-07    2.70   0.000E+00        -NaN        -NaN    0.00
 0.40 0.60 45.25 45.50   1.585E-08   6.461E-09   3.436E-08    2.45   0.000E+00        -NaN        -NaN    0.00
 0.60 0.80 40.50 40.75   3.549E-03   1.745E-03   6.728E-03    3.48   0.000E+00        -NaN        -NaN    0.00
 0.60 0.80 40.75 41.00   2.223E-03   1.453E-03   3.340E-03    7.95   8.051E-04  -4.267E-01   9.592E-02    0.02
 0.60 0.80 41.00 41.25   1.229E-03   9.263E-04   1.621E-03   16.11   2.876E-03   1.266E-05   1.942E-02    0.38
 0.60 0.80 41.25 41.50   7.671E-04   6.087E-04   9.634E-04   23.08   2.189E-03   9.778E-04   4.454E-03    2.87
 0.60 0.80 41.50 41.75   4.705E-04   3.888E-04   5.684E-04   32.75   1.240E-03   7.738E-04   1.939E-03    6.70
 0.60 0.80 41.75 42.00   3.056E-04   2.563E-04   3.639E-04   38.05   4.080E-04   2.720E-04   6.022E-04    8.62
 0.60 0.80 42.00 42.25   1.991E-04   1.704E-04   2.325E-04   47.51   4.751E-04   3.694E-04   6.084E-04   19.84
