# Binned XLF estimates based on combining the hard-band or soft-band samples and correcting for absorption (Aird+15 Fig. 8)
# XLF estimates include Compton-thick sources.
# For the soft band, only bins with Nsoft>=1 should be plotted.
# For the hard band, only bins with Nhard>=1 should be plotted.
# LFsoft_lo, LFsoft_hi, LFhard_lo, LFhard_hi are 1sigma upper and lower limits, *not* error bars.
# zlo zhi   lblo  lbhi   LFsoft      LFsoft_lo   LFsoft_hi   Nsoft   LFhard     LFhard_lo    LFhard_hi   Nhard
 0.20 0.40 42.50 42.75   1.692E-04   1.316E-04   2.165E-04   19.94   1.409E-04   1.063E-04   1.856E-04   16.22
 0.20 0.40 42.75 43.00   1.278E-04   1.018E-04   1.598E-04   23.85   9.268E-05   6.948E-05   1.228E-04   15.59
 0.20 0.40 43.00 43.25   9.666E-05   7.808E-05   1.194E-04   26.67   7.438E-05   5.679E-05   9.692E-05   17.50
 0.20 0.40 43.25 43.50   5.676E-05   4.487E-05   7.156E-05   22.41   4.953E-05   3.845E-05   6.352E-05   19.61
 0.20 0.40 43.50 43.75   2.841E-05   2.093E-05   3.829E-05   14.04   2.651E-05   2.026E-05   3.451E-05   17.60
 0.20 0.40 43.75 44.00   6.960E-06   3.946E-06   1.180E-05    4.95   1.158E-05   8.686E-06   1.533E-05   15.67
 0.20 0.40 44.00 44.25   4.769E-06   2.165E-06   9.591E-06    2.96   3.517E-06   2.456E-06   4.979E-06   10.61
 0.20 0.40 44.25 44.50   2.944E-06   1.806E-06   4.671E-06    6.31   1.370E-06   8.600E-07   2.132E-06    6.83
 0.20 0.40 44.50 44.75   6.681E-07   4.158E-07   1.047E-06    6.63   6.229E-07   2.966E-07   1.210E-06    3.25
 0.20 0.40 44.75 45.00   1.302E-07   8.049E-08   2.052E-07    6.48   3.786E-07   1.399E-07   8.751E-07    2.11
 0.20 0.40 45.00 45.25   1.402E-08   6.293E-09   2.842E-08    2.89   1.171E-08  -1.852E-08   2.516E-07    0.10
 0.40 0.60 40.25 40.50   3.057E-03   1.049E-03   7.400E-03    1.90   0.000E+00        -NaN        -NaN    0.00
 0.40 0.60 40.50 40.75   3.034E-03   1.914E-03   4.700E-03    6.96   0.000E+00        -NaN        -NaN    0.00
 0.40 0.60 40.75 41.00   1.967E-03   1.402E-03   2.733E-03   11.74   3.358E-04  -7.662E-03   1.449E-02    0.05
 0.40 0.60 41.00 41.25   1.473E-03   1.114E-03   1.936E-03   16.48   5.282E-04   1.029E-05   3.054E-03    0.46
 0.40 0.60 41.25 41.50   9.378E-04   7.217E-04   1.213E-03   18.46   8.505E-04   3.582E-04   1.803E-03    2.58
 0.40 0.60 41.50 41.75   5.890E-04   4.496E-04   7.674E-04   17.49   7.397E-04   4.433E-04   1.198E-03    5.84
 0.40 0.60 41.75 42.00   4.408E-04   3.401E-04   5.686E-04   18.78   4.849E-04   3.262E-04   7.097E-04    8.96
