id x y
0 0.00276 0.18394
0 0.02832 0.21135
0 0.05082 0.23328
0 0.07229 0.25411
0 0.09479 0.27495
0 0.11526 0.28811
0 0.13470 0.29909
0 0.15415 0.30787
0 0.17565 0.31447
0 0.19818 0.31888
0 0.23299 0.32331
0 0.25655 0.32663
0 0.28215 0.32776
0 0.30776 0.32670
0 0.33542 0.32783
0 0.36308 0.32677
0 0.39074 0.32353
0 0.42148 0.32028
0 0.44914 0.31704
0 0.48193 0.31161
0 0.51471 0.30618
0 0.54648 0.29746
0 0.56800 0.29202
0 0.58543 0.28657
0 0.60182 0.28330
0 0.64077 0.27131
0 0.67766 0.25823
0 0.69816 0.25168
0 0.73711 0.23860
0 0.77093 0.22879
0 0.78937 0.22444
0 0.80167 0.22445
1 0.00393 0.09526
1 0.01825 0.10951
1 0.03564 0.12486
1 0.05507 0.14350
1 0.07246 0.15557
1 0.08781 0.16654
1 0.10418 0.17532
1 0.12261 0.18301
1 0.14205 0.19180
1 0.16356 0.19730
1 0.18506 0.20171
1 0.20964 0.20612
1 0.23012 0.20834
1 0.24651 0.20946
1 0.26085 0.20948
1 0.28338 0.21061
1 0.30489 0.21063
1 0.32435 0.21066
1 0.35201 0.20960
1 0.37147 0.20854
1 0.38582 0.20856
1 0.40118 0.20748
1 0.42167 0.20642
1 0.43704 0.20425
1 0.45138 0.20317
1 0.46675 0.20100
1 0.48109 0.19883
1 0.49954 0.19557
1 0.51798 0.19231
1 0.53233 0.19014
1 0.55180 0.18579
1 0.56717 0.18253
1 0.58561 0.17927
1 0.59688 0.17600
1 0.61123 0.17273
1 0.62660 0.16837
1 0.64198 0.16292
1 0.65325 0.16075
1 0.66452 0.15748
1 0.67682 0.15311
1 0.68809 0.14985
1 0.69937 0.14548
1 0.71577 0.14003
1 0.72602 0.13566
1 0.73934 0.13130
1 0.75164 0.12694
1 0.76599 0.12258
1 0.77829 0.11822
1 0.79058 0.11604
1 0.80185 0.11496
2 0.00301 0.03942
2 0.02142 0.05149
2 0.03471 0.06574
2 0.05927 0.08220
2 0.07462 0.09317
2 0.09201 0.10304
2 0.11146 0.11074
2 0.13194 0.11733
2 0.15344 0.12393
2 0.17494 0.12834
2 0.19747 0.13275
2 0.22205 0.13388
2 0.24560 0.13720
2 0.27326 0.13723
2 0.29887 0.13727
2 0.32448 0.13730
2 0.35418 0.13625
2 0.37979 0.13519
2 0.41053 0.13304
2 0.43511 0.13198
2 0.46585 0.12983
2 0.49453 0.12659
2 0.52527 0.12225
2 0.55703 0.11901
2 0.58880 0.11139
2 0.62159 0.10486
2 0.65746 0.09506
2 0.69332 0.08744
2 0.72919 0.07654
2 0.76506 0.06564
2 0.79785 0.05912
