z gamma1 err1 gamma2 err2 phi_s err3 L_s err4 dtg err5 nfree redchi
0.2 0.797508445744 0.0453735352764 1.82753694807 0.0886721390921 -4.39495522807 0.252939029927 11.4524109183 0.199476630123 0.78 0 149 3.66231984477
0.4 0.509681589784 0.0523503747494 1.95804067571 0.0648801596994 -3.84548702413 0.13319273848 11.3394730402 0.107587249807 0.130188679142 0.0380796608506 173 4.83087087933
0.6 2.06591541769 0.0587558630943 0.561344177811 0.0329499999698 -4.17585182102 0.0846832436573 11.8537234345 0.0659746001502 0.245312933412 0.0360074106692 191 3.13742922924
0.8 0.587165020633 0.0321700733807 2.13139802734 0.0611923876948 -4.36549083763 0.0783739576311 12.1426489947 0.0598563401155 0.171194757465 0.0299692328733 210 4.16092087765
1.0 0.517240732731 0.0334356628794 2.21332496476 0.0617239668023 -4.3013667348 0.066288635074 12.2987976495 0.0492198337195 0.162532412343 0.0261974410649 200 3.84944560971
1.2 0.509305200817 0.0315166740252 2.42411525403 0.0612046880823 -4.5330395084 0.0548024414004 12.605323 0.0369098893832 0.167046181263 0.0242285383173 197 3.18067122
1.4 0.443541668292 0.0350875162015 2.44735449253 0.0687786237021 -4.48040071997 0.0546810704267 12.6845331405 0.0372366576801 0.111144598991 0.0191980805995 198 3.69322435197
1.6 0.451033615341 0.0329808151769 2.42684554771 0.0650508502061 -4.6269249312 0.0530477347438 12.8430209682 0.0360005687395 0.0970766084985 0.017611436932 209 3.39560140961
1.8 0.410631403451 0.0323858143268 2.35479518697 0.0588208807299 -4.59934428592 0.0499853584177 12.8467855431 0.0339342256048 0.0515197404409 0.0103493861951 205 2.83042191804
2.0 0.43430599783 0.0304031572378 2.44113961309 0.0600102478462 -4.70106465341 0.0490362113725 12.9652853566 0.0331377801526 0.0624160868862 0.0126262190669 191 2.94442011951
2.2 0.304555217649 0.0539739740642 2.36353586445 0.0649361212962 -4.52954327531 0.0635627341229 12.8940015626 0.0423460150735 0.0757094703244 0.0175033698788 167 3.72920605967
2.4 0.383955355433 0.0480431249347 2.36174652272 0.0661823658353 -4.6756376436 0.0620161049521 12.9842369624 0.0415465417201 0.118234301807 0.0233921002976 203 3.60776387435
2.6 0.426487274696 0.0498536328389 2.2396869228 0.0635091237819 -4.68954789339 0.0681243736906 12.9474543003 0.0503045910488 0.136386880042 0.0228592146019 197 2.30379911491
2.8 0.464234145255 0.0585437722657 2.08776306508 0.0801679511789 -4.77863744284 0.0982089983208 12.9465465606 0.0809164490311 0.195224785467 0.0362142010488 175 2.71303321298
3.0 0.404434044715 0.0631173243485 1.94602695174 0.062042283101 -4.74665527507 0.0956928591972 12.821091656 0.082043072037 0.192395802361 0.0346204634317 191 2.56299383114
3.2 0.244828655132 0.0955859193751 1.85089557276 0.0562141198151 -4.66140191983 0.104149916169 12.647958531 0.0890841109814 0.143998879659 0.0281102611712 175 2.57402974083
3.4 0.101110332065 0.129220266984 1.74164136141 0.0522770977658 -4.59457162455 0.110884727145 12.4809435452 0.100429158481 0.156367753583 0.0325408158519 168 2.7124609215
3.6 0.30950820479 0.141171992511 1.99344364614 0.0791177381542 -4.8938623568 0.13272716095 12.726358796 0.101704584655 0.138534953442 0.029246450432 120 2.46614371234
3.8 0.312144934801 0.148463482431 1.98728950474 0.0824321765696 -4.98559354494 0.139365169503 12.7288048925 0.107516040715 0.181012632816 0.0352460491639 120 2.69359150592
4.0 0.367606336916 0.156109156104 2.08326782247 0.0934695029927 -5.1378062971 0.15491282668 12.7823970987 0.113977344334 0.229937125886 0.0473324311211 126 3.4023374818
