z alpha alphauperr alphalowerr Ms Msuperr Mslowerr LogPhis LogPuperr LogPlowerr
2.2 -1.32 0.10 0.14 -19.92 0.24 0.44 -2.30 0.12 0.23
3.0 -1.39 0.08 0.12 -20.38 0.19 0.43 -2.42 0.11 0.21
