z Phis Phisuperr Phislowerr Ms Msuperr Mslowerr alpha alphauperr alphalowerr
4 137.3e-5 24.2e-5 24.2e-5 -21.09 0.19 0.19 -1.63 0.02 0.02
5  93.0e-5 20.9e-5 20.9e-5 -21.07 0.23 0.23 -1.72 0.02 0.02
6 119.9e-5 25.7e-5 25.7e-5 -20.41 0.19 0.19 -1.72 0.03 0.03
7 108.0e-5 20.5e-5 20.5e-5 -19.99 0.16 0.16 -1.68 0.04 0.04
8  56.7e-5 10.5e-5 10.5e-5 -19.90 0.15 0.15 -1.69 0.04 0.04
9  23.5e-5  8.3e-5  8.3e-5 -19.92 0.28 0.28 -1.81 0.05 0.05
10 12.4e-5  1.2e-5  1.2e-5 -19.60 0.00 0.00 -1.84 0.06 0.06
