logM lo up 
6.02008  4.00496 4.00496
6.10855  3.97327 4.08247 
6.29861  3.91849 4.24895
6.50050  4.17117 4.41255
6.67754  4.34629 4.55893
6.86034  4.48979 4.69669 
7.06563  4.64477 4.84305
7.23749  4.76242 4.96357
7.44961  4.89152 5.10417
7.69398  5.03784 5.24761
7.96871  5.17551 5.37953
8.23932  5.28732 5.46836
8.42545  5.32450 5.50266
8.63996  5.33291 5.49670
8.77669  5.27244 5.45634
8.86447  5.20914 5.42176
8.98135  5.09121 5.35843
9.09322  4.95030 5.26638
9.21446  4.72317 5.13120
9.33082  4.49892 4.99604
9.50803  3.96136 4.70852
