    0     42.34     -4.15      0.25      0.10      0.40
    0     42.84     -4.10      0.20      0.10      0.40
    0     43.34     -4.52      0.20      0.10      0.40
    0     43.84     -5.16      0.30      0.10      0.40
    0     42.34     -3.70      0.20      0.40      0.80
    0     42.84     -4.15      0.25      0.40      0.80
    0     43.34     -4.30      0.35      0.40      0.80
    0     43.84     -4.55      0.20      0.40      0.80
    0     44.34     -5.30      0.25      0.40      0.80
    0     44.84     -6.40      0.40      0.40      0.80
    0     42.34     -3.52      0.20      0.80      1.20
    0     42.84     -4.05      0.25      0.80      1.20
    0     43.34     -4.15      0.25      0.80      1.20
    0     43.84     -4.40      0.25      0.80      1.20
    0     44.34     -4.74      0.35      0.80      1.20
    0     44.84     -5.89      0.35      0.80      1.20
    0     45.34     -6.66      0.40      0.80      1.20
    0     43.59     -5.95      0.60      1.20      1.50
    0     42.34     -4.70      0.80      1.50      3.00
    0     42.84     -4.75      0.70      1.50      3.00
    0     43.34     -5.00      0.80      1.50      3.00
    0     43.84     -5.10      0.25      1.50      3.00
    0     44.34     -5.22      0.20      1.50      3.00
    0     44.84     -5.58      0.35      1.50      3.00
    0     45.34     -6.30      0.45      1.50      3.00
    0     42.84     -5.30      0.70      3.00      5.00
    0     43.34     -5.52      0.45      3.00      5.00
    0     43.84     -5.30      0.40      3.00      5.00
    0     44.34     -6.05      0.30      3.00      5.00
    0     44.84     -6.52      0.45      3.00      5.00
    0     45.34     -6.75      0.60      3.00      5.00
    0     43.59     -5.95      0.60      5.00      6.50
    1     42.49     -3.70      0.20      0.00      0.50
    1     43.49     -4.60      0.20      0.00      0.50
    1     44.49     -6.20      0.20      0.00      0.50
    1     45.49     -9.05      0.80      0.00      0.50
    1     42.49     -3.25      0.20      0.50      1.00
    1     43.49     -4.00      0.20      0.50      1.00
    1     44.49     -5.45      0.20      0.50      1.00
    1     45.49     -8.00      0.33      0.50      1.00
    1     42.49     -3.10      0.30      1.00      1.50
    1     43.49     -4.05      0.20      1.00      1.50
    1     44.49     -5.00      0.20      1.00      1.50
    1     45.49     -7.00      0.30      1.00      1.50
    1     43.49     -4.10      0.20      1.50      2.50
    1     44.49     -4.90      0.20      1.50      2.50
    1     45.49     -6.90      0.30      1.50      2.50
    1     46.49     -8.95      0.50      1.50      2.50
    1     44.24     -4.80      0.20      2.50      3.50
    1     44.99     -5.70      0.25      2.50      3.50
    2     43.74     -4.55      0.15      2.75      3.25
    3     41.13     -2.75      0.40      0.00      0.15
    3     41.63     -3.29      0.35      0.00      0.15
    3     42.13     -3.75      0.30      0.00      0.15
    3     42.63     -4.21      0.20      0.00      0.15
    3     43.13     -4.89      0.20      0.00      0.15
    3     43.63     -5.58      0.15      0.00      0.15
    3     44.13     -6.52      0.20      0.00      0.15
    3     44.63     -7.41      0.25      0.00      0.15
    3     45.13     -9.07      0.35      0.00      0.15
    3     45.63     -9.61      0.40      0.00      0.15
    3     40.01     -1.58      0.40      0.00      0.15
    3     41.51     -3.21      0.30      0.00      0.15
    3     42.01     -3.61      0.24      0.00      0.15
    3     42.51     -4.19      0.16      0.00      0.15
    3     43.01     -4.55      0.09      0.00      0.15
    3     43.51     -5.46      0.15      0.00      0.15
    3     44.01     -6.39      0.17      0.00      0.15
    3     44.51     -7.19      0.22      0.00      0.15
    3     45.01     -8.98      0.39      0.00      0.15
     -3.29      0.35      0.00      0.15
    3     42.13     -3.75      0.30      0.00      0.15
    3     42.63     -4.21      0.20      0.00      0.15
    3     43.13     -4.89      0.20      0.00      0.15
    3     43.63     -5.58      0.15      0.00      0.15
    3     44.13     -6.52      0.20      0.00      0.15
    3     44.63     -7.41      0.25      0.00      0.15
    3     45.13     -9.07      0.35      0.00      0.15
    3     45.63     -9.61      0.40      0.00      0.15
    3     40.01     -1.58      0.40      0.00      0.15
    3     41.51     -3.21      0.30      0.00      0.15
    3     42.01     -3.61      0.24      0.00      0.15
    3     42.51     -4.19      0.16      0.00      0.15
    3     43.01     -4.55      0.09      0.00      0.15
    3     43.51     -5.46      0.15      0.00      0.15
    3     44.01     -6.39      0.17      0.00      0.15
    3     44.51     -7.19      0.22      0.00      0.15
    3     45.01     -8.98      0.39      0.00      0.15
    4     42.31     -3.64      0.22      0.20      0.50
    4     42.81     -3.77      0.18      0.20      0.50
    4     43.31     -4.37      0.25      0.20      0.50
    4     43.81     -4.64      0.26      0.20      0.50
    4     44.31     -5.15      0.25      0.20      0.50
    4     44.81     -6.70      0.32      0.20      0.50
    4     43.31     -4.68      0.33      1.50      2.00
    4     43.81     -4.40      0.24      1.50      2.00
    4     44.31     -4.55      0.20      1.50      2.00
    4     44.81     -5.15      0.21      1.50      2.00
    4     45.31     -5.92      0.32      1.50      2.00
    4     43.81     -5.05      0.32      3.00      4.00
    4     44.31     -5.52      0.30      3.00      4.00
    4     44.81     -5.80      0.25      3.00      4.00
    4     45.31     -7.10      0.67      3.00      4.00
    5     41.86     -3.36      0.29      0.00      0.20
    5     42.61     -4.11      0.25      0.00      0.20
    5     43.10     -4.29      0.15      0.00      0.20
    5     43.37     -4.79      0.15      0.00      0.20
    5     43.77     -5.39      0.15      0.00      0.20
    5     44.12     -5.79      0.21      0.00      0.20
    5     44.48     -6.36      0.21      0.00      0.20
    5     45.03     -7.86      0.36      0.00      0.20
    5     45.86     -9.11      0.75      0.00      0.20
    5     41.81     -3.21      0.75      0.20      0.40
    5     42.68     -3.86      0.43      0.20      0.40
    5     43.21     -4.24      0.29      0.20      0.40
    5     43.77     -5.00      0.25      0.20      0.40
