    5     44.04     -5.21      0.21      0.20      0.40
    5     44.35     -5.96      0.21      0.20      0.40
    5     44.86     -6.89      0.36      0.20      0.40
    5     45.55     -8.07      0.43      0.20      0.40
    5     46.26     -9.78      0.79      0.20      0.40
    5     42.44     -3.29      0.28      0.40      0.80
    5     43.08     -3.79      0.22      0.40      0.80
    5     43.55     -4.29      0.20      0.40      0.80
    5     44.08     -4.79      0.20      0.40      0.80
    5     44.43     -5.57      0.22      0.40      0.80
    5     44.85     -6.21      0.18      0.40      0.80
    5     45.28     -7.85      0.43      0.40      0.80
    5     43.24     -3.88      0.20      0.80      1.60
    5     43.69     -4.12      0.20      0.80      1.60
    5     44.04     -4.45      0.20      0.80      1.60
    5     44.59     -5.14      0.21      0.80      1.60
    5     45.14     -6.43      0.25      0.80      1.60
    5     45.66     -8.00      0.30      0.80      1.60
    5     44.14     -5.15      0.50      1.60      3.00
    5     44.89     -5.50      0.30      1.60      3.00
    5     45.69     -7.10      0.40      1.60      3.00
    5     46.39     -9.00      0.80      1.60      3.00
