m phi uperr lowerr
-21.25 0.010e-4 0.022e-4 0.008e-4
-20.25 0.10e-4 0.10e-4 0.05e-4
-19.25 0.34e-4 0.45e-4 0.22e-4
-18.25 1.9e-4 2.5e-4 1.2e-4
-17.25 6.3e-4 14.9e-4 5.2e-4
