m phi uperr lowerr
-22.0 0.000012 0.000027 0.000027
-21.5 0.000034 0.000045 0.000045
-21.0 0.000152 0.000094 0.000094
-20.5 0.000555 0.000181 0.000181
-20.0 0.001654 0.000124 0.000124
-19.5 0.003467 0.000165 0.000165
-19.0 0.004961 0.000197 0.000197
-18.5 0.006454 0.000225 0.000225
-18.0 0.007849 0.000869 0.000869
-17.5 0.010007 0.000981 0.000981 
-17.0 0.012560 0.001099 0.001099
-16.0 0.017660 0.001303 0.001303
-15.5 0.018052 0.001317 0.001317
-15.0 0.030077 0.001505 0.001505
-14.5 0.033572 0.001251 0.001251
