m phi uperr lowerr
-19.2671 -2.5692 0.2043 0.4003
-18.2633 -2.1372 0.1470 0.2042
-17.2696 -1.7052 0.0980 0.1144
-16.2658 -1.7062 0.1062 0.1389
-15.2721 -1.5847 0.1552 0.2369
-14.2683 -0.9975 0.2124 0.3922
#-13.2646 0.3005 0.2533 0.5637
