m phi uperr lowerr
-21.4037 -4.5931 0.4493 0.4902
-20.9068 -4.0544 0.2124 0.2206
-20.4000 -3.4831 0.1144 0.0899
-19.9031 -3.2140 0.0980 0.0980
-19.4062 -2.9122 0.0899 0.1062
