m phi uperr lowerr
-22.69 0.000003 0.000004 0.000004  #Bouwens2015b
-22.19 0.000015 0.000009 0.000009
-21.69 0.000134 0.000023 0.000023 
-21.19 0.000393 0.000040 0.000040
-20.69 0.000678 0.000063 0.000063 
-20.19 0.001696 0.000113 0.000113
-19.69 0.002475 0.000185 0.000185 
-19.19 0.002984 0.000255 0.000255 
-18.69 0.005352 0.000446 0.000446
-18.19 0.006865 0.001043 0.001043 
-17.69 0.010473 0.002229 0.002229
-16.94 0.024580 0.003500 0.003500 
-15.94 0.025080 0.007860 0.007860
-22.5  0.0093E-3 0.0045E-3 0.0033E-3   #Fin2015
-22.0  0.0276E-3 0.0074E-3 0.0062E-3 
-21.5  0.1192E-3 0.0145E-3 0.0132E-3 
-21.0  0.2968E-3 0.0230E-3 0.0219E-3 
-20.5  0.6491E-3 0.0361E-3 0.0347E-3 
-20.0  1.2637E-3 0.0494E-3 0.0474E-3 
-19.5  1.6645E-3 0.0630E-3 0.0618E-3 
-19.0  2.6392E-3 0.1192E-3 0.1165E-3 
-18.5  3.6169E-3 0.6799E-3 0.6091E-3
-18.0  5.8343E-3 0.8836E-3 0.8204E-3
-17.5  6.4858E-3 1.0166E-3 0.9467E-3
-22.6 0.004E-3 0.002E-3 0.002E-3  #van2010
-22.3 0.016E-3 0.003E-3 0.003E-3
-22.0 0.035E-3 0.005E-3 0.005E-3
-21.7 0.086E-3 0.010E-3 0.010E-3
-21.4 0.160E-3 0.027E-3 0.027E-3
-21.1 0.287E-3 0.060E-3 0.060E-3
-20.8 0.509E-3 0.061E-3 0.061E-3
-20.5 0.728E-3 0.067E-3 0.067E-3
-20.2 1.006E-3 0.040E-3 0.040E-3
-19.9 1.465E-3 0.147E-3 0.147E-3
-19.6 1.756E-3 0.063E-3 0.063E-3
-19.3 2.230E-3 0.305E-3 0.305E-3
-19.0 2.499E-3 0.564E-3 0.564E-3 
-18.7 3.038E-3 0.370E-3 0.370E-3
