m phi uperr lowerr
-22.52 0.000002 0.000002 0.000002 #Bouwens2015b
-22.02 0.000015 0.000006 0.000006
-21.52 0.000053 0.000012 0.000012
-21.02 0.000176 0.000025 0.000025
-20.52 0.00032  0.000041 0.000041
-20.02 0.000698 0.000083 0.000083
-19.52 0.001246 0.000137 0.000137
-18.77 0.0019   0.00032  0.00032
-17.77 0.00668  0.00138  0.00138
-16.77 0.01364  0.0042   0.0042
-22.0 0.0091E-3 0.0057E-3 0.0039E-3 #Fin2015
-21.5 0.0338E-3 0.0105E-3 0.0085E-3 
-21.0 0.0703E-3 0.0148E-3 0.0128E-3 
-20.5 0.1910E-3 0.0249E-3 0.0229E-3 
-20.0 0.3970E-3 0.0394E-3 0.0357E-3 
-19.5 0.5858E-3 0.0527E-3 0.0437E-3 
-19.0 0.8375E-3 0.0916E-3 0.0824E-3 
-18.5 2.4450E-3 0.3887E-3 0.3515E-3 
-18.0 3.6662E-3 1.0076E-3 0.8401E-3 
-17.5 5.9126E-3 1.4481E-3 1.2338E-3
-22.52 1.16e-6 0.67e-6 0.67e-6 #Bowler2015
-22.08 5.98e-6 1.64e-6 1.64e-6
-21.74 1.90e-5 0.41e-5 0.41e-5
-21.49 3.92e-5 0.70e-5 0.70e-5
-21.22 9.14e-5 1.39e-5 1.39e-5
#-22.52 2.20e-6 1.27e-6 1.27e-6
#-22.11 7.60e-6 2.92e-6 2.92e-6
#-21.75 2.92e-5 0.76e-5 0.76e-5
#-21.48 4.76e-5 1.17e-5 1.17e-5
#-21.22 1.34e-4 0.25e-4 0.25e-4
#-22.04 4.54e-6 1.74e-6 1.74e-6
#-21.57 2.15e-5 0.47e-5 0.47e-5
#-21.22 5.54e-5 1.45e-5 1.45e-5
-19.5018 -2.8874 0.3135 0.4432  #livermore2017
-18.9940 -2.8649 0.3459 0.4324
-18.4861 -2.8207 0.4973 0.4324
-17.9927 -2.1928 0.1946 0.2487
-17.4994 -1.9973 0.1946 0.1514
-15.9903 -1.0865 0.1946 0.2054
-15.4970 -0.7504 0.1622 0.3243
-14.9891 -0.7387 0.3135 0.3351
-14.4958 -0.6730 0.4324 0.7243
-14.0024 -0.5856 0.5514 0.7568
#-12.4933 0.5847 0.5081 0.7676
