m phi uperr lowerr
-21.2447 -4.1685 0.2369 0.3677
-20.7478 -3.7687 0.1552 0.1716
-20.2509 -3.4505 0.1144 0.1062
-19.7540 -3.2304 0.0980 0.0572
-19.2571 -3.2064 0.0408 0.0409
-18.7602 -2.9128 0.2124 0.2941
-18.2435 -2.7173 0.2533 0.4902
