m phi uperr lowerr
-18.6049 -2.6886 0.0826 0.0900
-18.2447 -2.4184 0.0901 0.0975
-17.7456 -2.2233 0.0826 0.0750
-17.2464 -1.9906 0.0825 0.0751
-16.7473 -1.8180 0.2026 0.2026
-16.2369 -1.7205 0.1501 0.1500
-15.7378 -1.5478 0.3602 0.3528
-15.2388 -1.3677 0.3677 0.3678
-14.7403 -1.3977 0.7204 0.7130
-14.2417 -1.3977 0.5403 0.5179
-13.7434 -1.4728 0.7280 0.7355
-13.2451 -1.5629 1.4034 1.4033
