m phi uperr lowerr
-21.87 0.000005 0.000003 0.000003 #Bouwens2015b
-21.37 0.000013 0.000005 0.000005 
-20.87 0.000058 0.000015 0.000015 
-20.37 0.000060 0.000026 0.000026
-19.87 0.000331 0.000104 0.000104
-19.37 0.000533 0.000226 0.000226
-18.62 0.001060 0.000340 0.000340 
-17.62 0.002740 0.001040 0.001040
-21.5 0.0079e-3 0.0068e-3 0.0046e-3 #Fin2015
-21.0 0.0150e-3 0.0094e-3 0.0070e-3 
-20.5 0.0615e-3 0.0197e-3 0.0165e-3 
-20.0 0.1097e-3 0.0356e-3 0.0309e-3 
-19.5 0.2174e-3 0.1805e-3 0.1250e-3 
-19.0 0.6073e-3 0.3501e-3 0.2616e-3 
-18.5 1.5110e-3 1.0726e-3 0.7718e-3
-21.25 0.000008 0.000003 0.000003 #Mclure2013
-20.75 0.00003  0.000009 0.000009
-20.25 0.0001   0.00003  0.00003
-19.75 0.0003   0.00006  0.00006 
-19.25 0.0005   0.00012  0.00012
-18.75 0.0012   0.0004   0.0004
-18.25 0.0018   0.0006   0.0006
-17.75 0.0028   0.0008   0.0008 
-17.25 0.0050   0.0025   0.0025
-21.50 -5.02 0.44 0.47 #Schenker2013
-21.00 -4.28 0.16 0.24
-20.50 -4.15 0.12 0.43
-20.00 -3.54 0.17 0.06
-19.50 -3.34 0.15 0.17
-19.00 -2.97 0.09 0.20
-18.50 -2.91 0.14 0.24
-18.00 -2.61 0.18 0.20
-17.50 -2.57 0.25 0.74
-20.5102 -3.3071 0.5143 0.7772 #livermore2017
-19.5000 -2.8052 0.3086 0.8572
-18.5051 -2.7033 0.3086 0.4343
-18.0000 -2.7267 0.3543 0.7429
-17.4949 -2.7843 0.5143 0.7543
-17.0051 -2.1219 0.3772 0.7314
-16.5000 -2.0424 0.5143 0.7771
-15.5051 -1.0376 0.4000 0.7200
-15.0000 -0.9581 0.5257 0.7543
