m phi uperr lowerr
-22.16 0.000001 0.000002 0.000001   #Bouwens2015b
-21.66 0.000033 0.000009 0.000009
-21.16 0.000048 0.000015 0.000015
-20.66 0.000193 0.000034 0.000034
-20.16 0.000309 0.000061 0.000061
-19.66 0.000654 0.000100 0.000100
-19.16 0.000907 0.000177 0.000177 
-18.66 0.001717 0.000478 0.000478
-17.91 0.005840 0.001460 0.001460
-16.91 0.008500 0.002940 0.002940
-22.0 0.0046e-3 0.0049e-3 0.0028e-3  #Fin2015
-21.5 0.0187e-3 0.0085e-3 0.0067e-3 
-21.0 0.0690e-3 0.0156e-3 0.0144e-3 
-20.5 0.1301e-3 0.0239e-3 0.0200e-3 
-20.0 0.2742e-3 0.0379e-3 0.0329e-3 
-19.5 0.3848e-3 0.0633e-3 0.0586e-3 
-19.0 0.5699e-3 0.2229e-3 0.1817e-3 
-18.5 2.5650e-3 0.8735e-3 0.7161e-3
-18.0 3.0780e-3 1.0837e-3 0.8845e-3
-21.00 0.00003 0.00001 0.00001   #Mclure2013
-20.50 0.00012 0.00002 0.00002
-20.00 0.00033 0.00005 0.00005
-19.50 0.00075 0.00009 0.00009
-19.00 0.0011  0.0002  0.0002
-18.50 0.0021  0.0006  0.0006
-18.00 0.0042  0.0009  0.0009
-17.50 0.0079  0.0019  0.0019
-17.00 0.011   0.0025  0.0025
-20.65 -4.29 0.29 0.28    #Schenker2013
-20.15 -3.71 0.14 0.10
-19.65 -3.31 0.08 0.10
-19.15 -3.02 0.13 0.06
-18.65 -2.98 0.17 0.23
-18.15 -2.56 0.19 0.06
-17.65 -2.23 0.12 0.09
-17.15 -3.03 0.54 2.34
-21.75 4.1e-6 1.37e-6 1.37e-6   #Bowler2014
-22.17 1.69e-6 0.69e-6 0.69e-6
-22.66 3.59e-7 2.54e-7 2.54e-7
-22.0 0.02e-4 0.33e-4 0.02e-4  #Castellano2010
-21.0 0.19e-4 0.47e-4 0.19e-4
-20.0 2.20e-4 1.47e-4 1.47e-4
-19.0090 -3.3681 0.5449 0.7652  #Livermore2017
-18.5155 -2.8584 0.3942 0.4290
-18.0061 -2.4531 0.2087 0.3362
-17.5113 -2.2681 0.2319 0.3362
-17.0180 -1.7005 0.1391 0.3594
-16.5229 -1.6082 0.2435 0.3246
-16.0274 -1.6087 0.4870 0.4522
-15.5179 -1.2382 0.3826 0.7420
-15.0245 -0.6821 0.3014 0.8464
-14.5143 -0.4855 0.3826 0.7420
#-21.2880 -4.4080 0.1680 0.3200  #Castellano2010
#-20.6327 -3.7520 0.1200 0.1520
#-20.2612 -3.6640 0.2240 0.4720
#-22.7374 -6.4480 0.2400 0.5360  #Bowler2014
#-22.2839 -5.7840 0.1600 0.2160
#-21.8956 -5.3920 0.1280 0.1680
