m phi uperr lowerr
-22.58 0.012e-3 0.008e-3 0.008e-3
-22.08 0.050e-3 0.010e-3 0.010e-3
-21.58 0.170e-3 0.040e-3 0.040e-3
-21.08 0.530e-3 0.080e-3 0.080e-3
-20.58 1.100e-3 0.070e-3 0.070e-3
-20.08 2.130e-3 0.070e-3 0.070e-3
-19.58 3.660e-3 0.020e-3 0.020e-3
-22.58 0.004e-3 0.003e-3 0.003e-3
-22.08 0.035e-3 0.007e-3 0.007e-3 
-21.58 0.142e-3 0.016e-3 0.016e-3
-21.08 0.341e-3 0.058e-3 0.058e-3
-20.58 1.246e-3 0.083e-3 0.083e-3 
-20.08 2.030e-3 0.196e-3 0.196e-3
-19.58 3.583e-3 0.319e-3 0.319e-3 
-19.08 7.171e-3 0.552e-3 0.552e-3 
-18.58 8.188e-3 0.777e-3 0.777e-3
-18.08 12.62e-3 1.778e-3 1.778e-3
