m phi uperr lowerr
-20.75 0.0002 0.0002 0.0002
-20.25 0.0009 0.0004 0.0004
-19.75 0.0007 0.0004 0.0004
-19.25 0.0018 0.0006 0.0006
-18.75 0.0036 0.0009 0.0009
-18.25 0.0060 0.0012 0.0012
-17.75 0.0071 0.0066 0.0014
-17.25 0.0111 0.0102 0.0022
-16.75 0.0170 0.0165 0.0039
-16.25 0.0142 0.0171 0.0054
-15.75 0.0415 0.0354 0.0069
-15.25 0.0599 0.0757 0.0106
-14.75 0.0817 0.1902 0.0210
-14.25 0.1052 0.5414 0.0434
-13.75 0.1275 1.6479 0.0747
-13.25 0.1464 5.4369 0.1077
-12.75 0.1584 19.8047 0.134
