z eps
0.67540 24.17266
0.87802 24.40053
1.02274 24.53024
1.21571 24.67046
1.32185 24.74058
1.50517 24.85276
1.70779 24.94741
1.84287 24.98948
2.07443 25.03155
2.20951 25.03856
2.36389 24.97195
2.52791 24.90184
2.72088 24.81420
2.93315 24.71604
3.06823 24.65294
3.22261 24.57230
3.34804 24.50920
3.56995 24.39001
3.70503 24.31639
3.99449 24.14812
