begin sampling
initial memory consumption:  128244
memory:  143744
31.7%   t: 20781.6095819
memory:  143744
32.0%   t: 20944.8093548
memory:  143744
32.2%   t: 21111.867157
memory:  143744
32.5%   t: 21279.9829099
memory:  143744
32.7%   t: 21451.5925539
memory:  143744
33.0%   t: 21631.0158548
memory:  143744
33.2%   t: 21819.9564228
memory:  143744
33.5%   t: 22012.9133229
memory:  143744
33.7%   t: 22204.45257
memory:  143744
34.0%   t: 22411.1913559
memory:  143744
34.2%   t: 22599.919297
memory:  143744
34.5%   t: 22773.5002499
memory:  143744
34.7%   t: 22968.5770459
memory:  143744
35.0%   t: 23177.9004278
memory:  143744
35.2%   t: 23381.3595769
memory:  143744
35.5%   t: 23567.3255138
memory:  143744
35.7%   t: 23754.769851
memory:  143744
36.0%   t: 23935.8545878
memory:  143744
36.2%   t: 24118.3350229
memory:  143744
36.5%   t: 24297.3821058
memory:  143744
36.7%   t: 24491.4721539
memory:  143744
37.0%   t: 24671.0568919
memory:  143744
37.2%   t: 24855.7460468
memory:  143744
37.5%   t: 25033.643919
memory:  143744
37.7%   t: 25211.4834878
memory:  143744
38.0%   t: 25389.740207
memory:  143744
38.2%   t: 25567.999661
memory:  143744
38.5%   t: 25769.330164
memory:  143744
38.7%   t: 25955.8666608
memory:  143744
39.0%   t: 26156.0918829
memory:  143744
39.2%   t: 26407.8705719
memory:  143744
39.5%   t: 26637.9822078
memory:  143744
39.7%   t: 26902.582268
memory:  143744
40.0%   t: 27150.7098858
memory:  143744
40.2%   t: 27394.4555738
memory:  143744
40.5%   t: 27635.1467118
memory:  143744
40.7%   t: 27861.889622
memory:  143744
41.0%   t: 28101.978864
memory:  143744
41.2%   t: 28330.815506
memory:  143744
41.5%   t: 28555.94344
memory:  143744
41.7%   t: 28774.6295438
memory:  143744
42.0%   t: 28988.4384198
memory:  143744
42.2%   t: 29204.8002908
memory:  143744
42.5%   t: 29435.8493869
memory:  143744
42.7%   t: 29657.7840459
memory:  143744
43.0%   t: 29891.6894808
memory:  143744
43.2%   t: 30150.2464638
memory:  143744
43.5%   t: 30411.586334
memory:  143744
43.7%   t: 30670.078624
memory:  143744
44.0%   t: 30922.3549619
memory:  143744
44.2%   t: 31174.707269
memory:  143744
44.5%   t: 31417.7109909
memory:  143744
44.7%   t: 31659.4014099
memory:  143744
45.0%   t: 31912.844038
memory:  143744
45.2%   t: 32206.468375
memory:  143744
45.5%   t: 32459.7152798
memory:  143744
45.7%   t: 32739.8050499
memory:  143744
46.0%   t: 33017.6949399
memory:  143744
46.2%   t: 33279.335423
memory:  143744
46.5%   t: 33572.9503019
memory:  143744
46.7%   t: 33848.5708728
memory:  143744
47.0%   t: 34123.1676228
memory:  143744
47.2%   t: 34520.2505779
memory:  143744
47.5%   t: 34970.1317739
memory:  143744
47.7%   t: 35665.6403968
memory:  143744
48.0%   t: 36558.2755959
memory:  143744
48.2%   t: 37279.4249439
memory:  143744
48.5%   t: 38141.5887909
memory:  143744
emcee: Exception while calling your likelihood function:
  params:emcee: Exception while calling your likelihood function:
  params:emcee: Exception while calling your likelihood function:
