begin sampling
initial memory consumption:  128248
memory:  143496
29.0%   t: 18126.5406489
memory:  143496
29.2%   t: 18256.147656
memory:  143496
29.4%   t: 18389.5999708
memory:  143496
29.6%   t: 18529.485127
memory:  143496
29.8%   t: 18671.7855449
memory:  143496
30.0%   t: 18802.3141439
memory:  143496
30.2%   t: 18935.1344249
memory:  143496
30.4%   t: 19066.2851529
memory:  143496
30.6%   t: 19196.3075759
memory:  143496
30.8%   t: 19328.2960138
memory:  143496
31.0%   t: 19459.602792
memory:  143496
31.2%   t: 19590.8515949
memory:  143496
31.4%   t: 19721.809437
memory:  143496
31.6%   t: 19855.8309689
memory:  143496
31.8%   t: 19995.2811639
memory:  143496
32.0%   t: 20134.4826369
memory:  143496
32.2%   t: 20277.978806
memory:  143496
32.4%   t: 20425.315012
memory:  143496
32.6%   t: 20573.9256499
memory:  143496
32.8%   t: 20718.98874
memory:  143496
33.0%   t: 20868.5030079
memory:  143496
33.2%   t: 21020.1137369
memory:  143496
33.4%   t: 21174.0441658
memory:  143496
33.6%   t: 21372.8537998
memory:  143496
33.8%   t: 21540.215632
memory:  143496
34.0%   t: 21709.7948389
memory:  143496
34.2%   t: 21880.984699
memory:  143496
34.4%   t: 22077.517715
memory:  143496
34.6%   t: 22256.2697289
memory:  143496
34.8%   t: 22416.4887788
memory:  143496
35.0%   t: 22567.3522198
memory:  143496
35.2%   t: 22714.845701
memory:  143496
35.4%   t: 22863.807719
memory:  143496
35.6%   t: 23014.6259449
memory:  143496
35.8%   t: 23168.8054349
memory:  143496
36.0%   t: 23325.1666811
memory:  143496
36.2%   t: 23476.8822529
memory:  143496
36.4%   t: 23633.8243608
memory:  143496
36.6%   t: 23787.754545
memory:  143496
36.8%   t: 23943.720597
memory:  143496
37.0%   t: 24109.2527299
memory:  143496
37.2%   t: 24275.183151
memory:  143496
37.4%   t: 24438.5298209
memory:  143496
37.6%   t: 24606.247993
memory:  143496
37.8%   t: 24781.311914
memory:  143496
38.0%   t: 24957.582087
memory:  143496
38.2%   t: 25134.12591
memory:  143496
38.4%   t: 25316.317009
memory:  143496
38.6%   t: 25544.095772
memory:  143496
38.8%   t: 25727.687923
memory:  143496
39.0%   t: 25942.086221
memory:  143496
39.2%   t: 26167.3618999
memory:  143496
39.4%   t: 26433.0653479
memory:  143496
39.6%   t: 26674.651356
memory:  143496
39.8%   t: 26910.8846688
memory:  143496
40.0%   t: 27140.015749
memory:  143496
40.2%   t: 27355.514643
memory:  143496
40.4%   t: 27587.174073
memory:  143496
40.6%   t: 27838.4545779
memory:  143496
40.8%   t: 28107.2357678
memory:  143496
41.0%   t: 28351.6321259
memory:  143496
41.2%   t: 28606.9146669
memory:  143496
41.4%   t: 28840.241509
memory:  143496
41.6%   t: 29069.8352599
memory:  143496
41.8%   t: 29302.609895
memory:  143496
42.0%   t: 29537.06265
memory:  143496
42.2%   t: 29813.1637809
memory:  143496
42.4%   t: 30102.2751439
memory:  143496
42.6%   t: 30392.18926
memory:  143496
42.8%   t: 30662.4712029
memory:  143496
43.0%   t: 30935.127126
memory:  143496
43.2%   t: 31292.401361
memory:  143496
43.4%   t: 31649.8356509
memory:  143496
43.6%   t: 31991.23756
memory:  143496
43.8%   t: 32335.482969
memory:  143496
44.0%   t: 32695.7464769
memory:  143496
44.2%   t: 33102.7531378
memory:  143496
44.4%   t: 33482.5003839
memory:  143496
44.6%   t: 33822.1957469
memory:  143496
44.8%   t: 34536.211159
memory:  143496
45.0%   t: 35949.028847
memory:  143496
45.2%   t: 37912.564132
memory:  143496
45.4%   t: 39810.7692959
memory:  143496
45.6%   t: 41653.149544
memory:  143496
45.8%   t: 43850.7654688
memory:  143496
46.0%   t: 45839.2311239
memory:  143496
46.2%   t: 47808.4884849
memory:  143496
46.4%   t: 49879.579006
memory:  143496
46.6%   t: 51999.1579199
memory:  143496
46.8%   t: 54021.753135
memory:  143496
47.0%   t: 55801.665447
memory:  143496
emcee: Exception while calling your likelihood function:
  params: [ 0.92107264 -0.2801034   0.01997508  2.01542216  0.53412194 -2.75465279
  0.62934728 -4.01105098 -0.32508258 13.20219104  2.65262128 -0.52655125
  0.54149719]
  args: []
  kwargs: {}
  exception:
emcee: Exception while calling your likelihood function:
  params: [ 0.93197198 -0.29457076  0.02097213  2.14661078  0.64695648 -2.3591313
  0.69739985 -3.90009477 -0.35975557 13.21401246  2.79212649 -0.51716124
  0.53790175]
  args: []
  kwargs: {}
  exception:
emcee: Exception while calling your likelihood function:
  params: [ 0.90054288 -0.27286077  0.01920452  2.14012237  0.66442675 -2.26479014
  0.71323592 -3.92078251 -0.34640028 13.19136064  2.80172556 -0.519385
  0.5492875 ]
  args: []
  kwargs: {}
  exception:
emcee: Exception while calling your likelihood function:
  params: [ 0.86448096 -0.25583668  0.01893876  2.10298241  0.60841906 -2.45788509
  0.67538774 -3.90332944 -0.36060178 13.21575439  2.78422564 -0.51811261
  0.5381466 ]
  args: []
  kwargs: {}
  exception:
emcee: Exception while calling your likelihood function:
  params: [ 0.86434606 -0.25079845  0.0181716   2.10848633  0.62352453 -2.44343276
  0.6856266  -3.90726821 -0.35790743 13.21048356  2.7966036  -0.51893011
  0.54346134]
  args: []
  kwargs: {}
  exception:
emcee: Exception while calling your likelihood function:
  params: [ 0.88348501 -0.25303564  0.01827523  2.23070251  0.75391657 -2.23952413
  0.77277454 -3.91914931 -0.36251448 13.23514703  2.75876086 -0.52452687
  0.54302314]
  args: []
  kwargs: {}
  exception:
