paraid index value uperr loerr
0 0 0.36527634 0.011512 0.011389
0 1 -0.60064129 0.042150 0.041739
1 2 2.47087436 0.016296 0.016898
1 3 -0.99630954 0.016685 0.016149
1 4 1.07159016 0.017984 0.018111
2 5 -3.62755856 0.020873 0.020291
2 6 -0.34441621 0.006327 0.006082
3 7 12.96562063 0.009212 0.008946
3 8 -0.57580856 0.001952 0.001861
3 9 0.46976787 0.002451 0.002562
