paraid index value uperr loerr
0 0  0.79847831  0.047190 0.039750
0 1  -0.25102297 0.019048 0.025745
0 2  0.02265792  0.001169 0.001071
1 3  1.846936805 0.047449 0.043660
1 4  0.316915805 0.037265 0.030436
1 5  -2.80025713 0.152219 0.119916
1 6  0.4003701   0.030086 0.025017
2 7  -3.5469101  0.055265 0.081735
2 8  -0.39856649 0.031880 0.015519
3 9  11.32661766 0.422753 0.392853
3 10 0.27481868  0.185252 0.130039
3 11 -0.82451577 0.051253 0.083711
3 12 0.25281821  0.035855 0.023699
