# gamma1 gamma2 phi_s Lbreak
1.705501200816446294e+00 2.342208072486966941e+00 -3.855561029913782800e+00 1.099643031838996166e+01
-1.078700539443752326e+00 2.067114074110976141e+00 -3.548048158301563837e-01 7.302490517201445819e+00
1.417091812716838317e-01 -1.000403268800853951e+00 0.000000000000000000e+00 -3.252882882822146215e-01
-4.913503567223131800e-03 1.399154527410910287e+00 0.000000000000000000e+00 1.239403614340442328e+00
