id x y
0 0.00000 0.09474
0 0.01740 0.13023
0 0.04136 0.18151
0 0.06347 0.23279
0 0.08651 0.28275
0 0.11047 0.33271
0 0.13628 0.37741
0 0.16672 0.42078
0 0.20456 0.44966
0 0.24334 0.46670
0 0.28675 0.47190
0 0.32925 0.47183
0 0.37082 0.47044
0 0.41423 0.47695
0 0.45486 0.48741
0 0.49826 0.50313
0 0.53797 0.51885
0 0.57860 0.53457
0 0.61737 0.55688
0 0.65244 0.58971
0 0.68102 0.63309
0 0.70498 0.68305
0 0.72525 0.73565
0 0.74458 0.79088
0 0.76207 0.84611
0 0.78326 0.89871
0 0.80261 0.93552
1 0.00000 0.00921
1 0.00922 0.01183
1 0.02677 0.01574
1 0.04801 0.02755
1 0.07201 0.04330
1 0.10984 0.07613
1 0.20209 0.18914
1 0.28788 0.29163
1 0.33125 0.33366
1 0.36356 0.36124
1 0.38664 0.37305
1 0.42912 0.38482
1 0.45867 0.39135
1 0.48545 0.39788
1 0.51778 0.40441
1 0.55010 0.41357
1 0.57688 0.42405
1 0.60735 0.43716
1 0.63042 0.45686
1 0.66180 0.48049
1 0.68670 0.51597
1 0.74019 0.59747
1 0.76505 0.66848
1 0.78622 0.73555
1 0.80277 0.79868
2 0.00000 0.30132
2 0.01162 0.33814
2 0.02820 0.37758
2 0.04017 0.41441
2 0.05674 0.45912
2 0.07886 0.50645
2 0.11297 0.56823
2 0.15633 0.62079
2 0.19326 0.63389
2 0.22189 0.63911
2 0.24407 0.63512
2 0.26625 0.62588
2 0.29029 0.61268
2 0.31616 0.60211
2 0.33927 0.59286
2 0.36977 0.58097
2 0.39378 0.58225
2 0.42888 0.59140
2 0.46765 0.61107
2 0.50920 0.63074
2 0.54522 0.64252
2 0.60154 0.66611
2 0.62554 0.67923
2 0.66798 0.73311
2 0.70209 0.78963
2 0.72328 0.83828
2 0.74170 0.88430
2 0.76659 0.93032
2 0.80000 0.96842
